timestamp_utc,category,role,function,tx_hash,gas_used,confirmation_s,status,notes,label
2026-03-19T19:09:27Z,Deployment,Regulator,deployContract,36fd5065503a50bf1321fb0925c8a4171ad5b6e8f9881605d0c743fc0cece7ef,2753919,5.573,mined,contract=0xb5883FF8d8fF6c8eeAb7CBEdc01FcF8d07a08278,contract=0xb5883FF8d8fF6c8eeAb7CBEdc01FcF8d07a08278
2026-03-19T19:09:38Z,Governance setup,Regulator,registerHospital,bada3f94f43f8cdae856778a657ac8520a90930b7ee2f1ef5b80ace63cd2bf11,47727,9.316,mined,,hospital=0x9Aba15923381dc8ebF7D15b060362c5DA083849C
2026-03-19T19:09:50Z,Governance setup,Regulator,registerMedicalTeam,a2b4221e0957cc56ac8a315d0ec5f681b658bd9efb52fb89929db578c54a385e,47221,11.531,mined,,medicalTeam=0xD2b1DfE267406529Baa09db2C1a2F0C5fAE7693E
2026-03-19T19:10:04Z,Governance setup,Regulator,registerEthicalCommittee,d64dd925969c97a64f4ac9a37a3d9d75ceeae3be57a4f48c565b2cb434f2e006,47837,13.724,mined,,member=0xdb0BaEe6A0a69E157f1a238007229D6Dee0C9F26
2026-03-19T19:10:16Z,Governance setup,Regulator,registerLLM,ca72afa96363b192c5b31b0e2063266e2cb8a09f4b70fd7f27d00f94224a2a0c,47507,11.486,mined,,llm=0x837139FC53ce1D530d0FeceEb0242DB5d9bB5553
2026-03-19T19:10:28Z,Identity binding,Regulator,registerDonorAddress,e1351298cbd1419959c827c59ef0f8b787fb872a5eeb132c602022e9b653da49,70250,11.462,mined,,"donorId=1,addr=0x09b41975272B88218eDB76bf27Ff5DF457Ab4aeF"
2026-03-19T19:10:40Z,Identity binding,Regulator,registerRecipientAddress,e84465c083f558b95381fac8a7fc7fc0aa79d34b72571bb4f98f7f26027cd46e,70338,11.48,mined,,"recipientId=1,addr=0x24Ba8EA2eb4973430E9B2E60607B6F9D1b55Ef96"
2026-03-19T19:10:53Z,Identity binding,Regulator,registerRecipientAddress,d83f52024aa026c3e0718e0a253d7a6f670bf197ba2a891f58445a06b9683b19,53238,11.459,mined,,"recipientId=2,addr=0xA6265f63Bf3243Fe0E3c0C5D5Ef5094724069de2"
2026-03-19T19:11:05Z,Identity binding,Regulator,registerRecipientAddress,9fc4e9101667e5c8b4220908c04b938743ffff87217ce7d4544916b3e0358528,53226,11.458,mined,,"recipientId=3,addr=0x881d472f5334eE922DB16eb5b3b91fEc2c00D78E"
2026-03-19T19:11:15Z,Identity binding,Regulator,registerRecipientAddress,bd23594e9a4e8faaa116e58247fd5d78e55be964bf7eb4c465c0c72eb6c1680e,53238,9.258,mined,,"recipientId=4,addr=0xA1Bf6A0C02fa377d381ffc1048dBDcB2fD322672"
2026-03-19T19:11:27Z,Identity binding,Regulator,registerRecipientAddress,23e6628bbd8fcf1df113418718a65b3761841f257f1b0d6c2ef57453991c985e,53238,11.477,mined,,"recipientId=5,addr=0x55AF7323383eBD673D28EE543e1bf90A6D15E669"
2026-03-19T19:11:40Z,Identity binding,Regulator,registerRecipientAddress,a17c8075880693990dbe66269b7292e4f44ad80be1680220dd33cbdd13e90acc,53226,11.468,mined,,"recipientId=6,addr=0x06fe503f45B413106488980088678141c1897557"
2026-03-19T19:11:52Z,Identity binding,Regulator,registerRecipientAddress,dda72cc14e0ee38c34c4a1343e3f5fcf01112de8c01ffff4622a0a95c219e953,53238,11.495,mined,,"recipientId=7,addr=0x4a15fc74181446B6599Dd6d106a097962F449E54"
2026-03-19T19:12:04Z,Identity binding,Regulator,registerRecipientAddress,98a5ce7392ec8451583a31fc56f4bdc738ee53c4eb0658ca0ef9fb102ca58464,53238,11.489,mined,,"recipientId=8,addr=0xb1764E2670CCA7698CF3f3c29c76333E2D4D2414"
2026-03-19T19:12:16Z,Identity binding,Regulator,registerRecipientAddress,f8461550d81908908366151c68218eebd8928d49224706566c898db8cd1f59da,53238,11.509,mined,,"recipientId=9,addr=0xDe181392f8A495A77c3e9d36Cbc9a0C28694a027"
2026-03-19T19:12:29Z,Identity binding,Regulator,registerRecipientAddress,29524980ac8f268445f39d888feef11d1c4782ecac1f1b9d9b6590a85c49f0c1,53238,11.498,mined,,"recipientId=10,addr=0x5E4ce04D2DcDd19985d6288a242242319662B195"
2026-03-19T19:12:38Z,Profile registration,Hospital,registerDonor,19242f0b2f13ec16a47be73695dc83a67523510705bc94431e6a1c67f6c13766,234359,9.282,mined,,"donorId=1,organ=Kidney"
2026-03-19T19:12:52Z,Profile registration,Hospital,registerRecipient,83385b414c3cadfc533c6a9e099d45eb68d87a64e7df0cb64831cddb543faffe,234748,13.712,mined,,"recipientId=1,organ=Kidney"
2026-03-19T19:13:04Z,Profile registration,Hospital,registerRecipient,8e0de99561474c9ee2a401581d6da8dc9e16884646541d230c8954f8bd694a1e,234736,11.498,mined,,"recipientId=2,organ=Kidney"
2026-03-19T19:13:16Z,Profile registration,Hospital,registerRecipient,8f690187ba43d81c2b195372a6477136f67f98c3132c8d5f475c58df59eaf9a0,234736,11.451,mined,,"recipientId=3,organ=Kidney"
2026-03-19T19:13:39Z,Profile registration,Hospital,registerRecipient,c90dcf9adb8f546b507b03d330dde9c9cafc93290f43fbe42ac4f12c9139fa1b,234748,22.551,mined,,"recipientId=4,organ=Kidney"
2026-03-19T19:13:50Z,Profile registration,Hospital,registerRecipient,caf2cf159d16a06d963f6042072fc0440dcf9af932d7cd67571aa201ff3cd059,234748,11.475,mined,,"recipientId=5,organ=Kidney"
2026-03-19T19:14:04Z,Profile registration,Hospital,registerRecipient,bb00e76bbe9eb2714929d1eba43636df23d1be7461780c5fa6b908440bea94b3,234748,13.696,mined,,"recipientId=6,organ=Kidney"
2026-03-19T19:14:16Z,Profile registration,Hospital,registerRecipient,1f2007a5dcd271f42427c84bb4141553532e50c64548a1d3ce7f57b98dc84d7e,234748,11.461,mined,,"recipientId=7,organ=Kidney"
2026-03-19T19:14:27Z,Profile registration,Hospital,registerRecipient,6da0987d4873ab230c794105cef2cade9c38ed382c8c2bcb8640e45a9457fab0,234748,11.457,mined,,"recipientId=8,organ=Kidney"
2026-03-19T19:14:39Z,Profile registration,Hospital,registerRecipient,4cd728694936c8c922921f98feecd35c379914ec2a4bc85b976f593fb96e49e4,234760,11.541,mined,,"recipientId=9,organ=Kidney"
2026-03-19T19:14:51Z,Profile registration,Hospital,registerRecipient,6292b10b3b14fa6223bc76d2b3c6b203f0f047d67f86627988027d011ea7f48d,234748,11.466,mined,,"recipientId=10,organ=Kidney"
2026-03-19T19:15:16Z,Eligibility approvals,EthicsCommittee,approveDonorEthicalCommittee,3391fe0a01a7b8f4caf5386b2f953834641382b381047d39e8a66c7158ca8bb4,31472,24.777,mined,,id=1
2026-03-19T19:15:28Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,9122bbad6fbe753e4582eafe866615decc9fa2b0b01ce8a2708ad299b60bbacb,31338,11.459,mined,,id=1
2026-03-19T19:15:39Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,2d55862075f0eea0492ed326ad9b3b0179febd70986a76eef16eebf13100e6dc,31338,11.486,mined,,id=2
2026-03-19T19:15:51Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,f0ddad104f17416e11f888ba4b260498175b0be767ab7414be824d00eca8a391,31338,11.47,mined,,id=3
2026-03-19T19:16:03Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,cc81d3c2090c45ed2a7eb4a573602d2539097e3688906155238bdebd2682312c,31338,11.474,mined,,id=4
2026-03-19T19:16:14Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,a9852b5aa4759c92f80e2b9f371ba51966e74999abf0e8eeb7d693b532cac17e,31338,11.479,mined,,id=5
2026-03-19T19:16:26Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,d678b10c32623629cfb19befcd4765db749b506c5dc03399e2da2172dfd900c4,31338,11.476,mined,,id=6
2026-03-19T19:16:40Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,fce7264725db57aa5e9e8e729f9d3d5336db74fad338d649a99cac2726dd2988,31338,13.674,mined,,id=7
2026-03-19T19:16:52Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,f6166fe917becad9a8c2589016e547bcef0e217900ab424fcbb1907413a48b74,31338,11.47,mined,,id=8
2026-03-19T19:17:03Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,7cdf1ddd8bcbb284a34e1c7307dfb5c50376df6bac2a2ed17732dddae41b9a7f,31338,11.467,mined,,id=9
2026-03-19T19:17:15Z,Eligibility approvals,EthicsCommittee,approveRecipientEthicalCommittee,cc0f59be6555beb039fad6947a1abb037ecbebbf4196c0fe185217b1b2d173e4,31338,11.463,mined,,id=10
2026-03-19T19:17:27Z,Match workflow,AuthorizedLLM,createMatch,ffa21f00ca4e73ec6dfdc3d98b8d39d4ad0f0601175adaa45d94e9d076c5301f,244171,11.469,mined,,"primary=1,backup=7"
2026-03-19T19:17:39Z,Match workflow,MedicalTeam,approveMedicalTeam,bd80d10cb4a4ce7cccbaa67b1859de87421e0de6a12cd4c3398071541ea35277,50466,11.486,mined,,matchId=1
2026-03-19T19:17:53Z,Match workflow,Hospital,approveHospital,2fc4b8aca290b990eaa7fc1081a069246edeb7b4161ee7bf0de94f3f78484e6c,33289,13.682,mined,,matchId=1
2026-03-19T19:18:03Z,Match workflow,Donor,approveDonor,ed7adb3b05eddbb5b9b2b38ba833e3ea573fc5aec760dacdf88bc7f38280fb70,35829,9.152,mined,,matchId=1
2026-03-19T19:18:15Z,Match workflow,Recipient1,approveRecipient,7bfec686c56446c55aaceb3560d415ff6ba40b7945d4a056bb34ab46fdf287d3,35694,11.645,mined,,"matchId=1,recipient=1"
2026-03-19T19:18:29Z,Match workflow,EthicsCommittee,approveFinalTransplant,ad206ccdbaed555e66d1560fb03a398b87886aebb19a91940bee2c484dd56d1a,33581,13.671,mined,,matchId=1
2026-03-19T19:18:40Z,Match workflow,Finalizer,finalizeMatch,a39bb07bf8a1eb9476ce3d269fe951945726ffb9e3ad614110c16ef34e53d2f7,50058,11.494,mined,,matchId=1
