reference_state,predicted_state,count
eligible,__failure__,12
eligible,eligible,1003
eligible,review_required,691
eligible,temporary_hold,443
review_required,__failure__,5
review_required,eligible,96
review_required,review_required,873
review_required,temporary_hold,40
temporary_hold,__failure__,3
temporary_hold,eligible,57
temporary_hold,review_required,74
temporary_hold,temporary_hold,703
